n_estimators,learning_rate,max_depth,accuracy,precision,recall,f1,roc_auc
50,0.01,1,0.849624060150376,0.0,0.0,0.0,0.9151234567901234
50,0.01,2,0.849624060150376,0.0,0.0,0.0,0.9199743253578061
50,0.01,3,0.849624060150376,0.0,0.0,0.0,0.926666120397684
50,0.05,1,0.9072681704260651,0.7446808510638298,0.5833333333333334,0.6542056074766355,0.9255626570523325
50,0.05,2,0.9055973266499582,0.7342657342657343,0.5833333333333334,0.6501547987616099,0.9321533923303835
50,0.05,3,0.9139515455304928,0.7549668874172185,0.6333333333333333,0.6888217522658611,0.9351906478750137
50,0.1,1,0.9131161236424394,0.7345679012345679,0.6611111111111111,0.695906432748538,0.932855347973342
50,0.1,2,0.9164578111946533,0.7531645569620253,0.6611111111111111,0.7041420118343196,0.9331476018791651
50,0.1,3,0.9189640768588136,0.7643312101910829,0.6666666666666666,0.712166172106825,0.9338850650060089
100,0.01,1,0.849624060150376,0.0,0.0,0.0,0.9167950398776357
100,0.01,2,0.8705096073517126,0.8571428571428571,0.16666666666666666,0.27906976744186046,0.9293045995848356
100,0.01,3,0.8872180451127819,0.835820895522388,0.3111111111111111,0.4534412955465587,0.9345979460286244
100,0.05,1,0.9114452798663325,0.725609756097561,0.6611111111111111,0.6918604651162791,0.9320386758439856
100,0.05,2,0.9147869674185464,0.74375,0.6611111111111111,0.7,0.9329263629411121
100,0.05,3,0.9164578111946533,0.7531645569620253,0.6611111111111111,0.7041420118343196,0.9341855129465749
100,0.1,1,0.9147869674185464,0.7294117647058823,0.6888888888888889,0.7085714285714285,0.9340434830110347
100,0.1,2,0.9181286549707602,0.759493670886076,0.6666666666666666,0.7100591715976331,0.9337758112094394
100,0.1,3,0.9156223893065998,0.7548387096774194,0.65,0.6985074626865672,0.9301513165082487
200,0.01,1,0.9064327485380117,0.7463768115942029,0.5722222222222222,0.6477987421383647,0.9212198186386975
200,0.01,2,0.9055973266499582,0.7557251908396947,0.55,0.6366559485530546,0.9324702283404349
200,0.01,3,0.9114452798663325,0.7534246575342466,0.6111111111111112,0.6748466257668712,0.9344149459193708
200,0.05,1,0.9164578111946533,0.7352941176470589,0.6944444444444444,0.7142857142857143,0.9334535125095598
200,0.05,2,0.9147869674185464,0.7468354430379747,0.6555555555555556,0.6982248520710059,0.9348683491751338
200,0.05,3,0.9172932330827067,0.7647058823529411,0.65,0.7027027027027027,0.9308013765978369
200,0.1,1,0.9139515455304928,0.7225433526011561,0.6944444444444444,0.7082152974504249,0.9337621544848683
200,0.1,2,0.9114452798663325,0.7371794871794872,0.6388888888888888,0.6845238095238095,0.9301950180268763
200,0.1,3,0.9122807017543859,0.7450980392156863,0.6333333333333333,0.6846846846846847,0.9256527914345024
