resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,race_name,date,race_time,race_url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverRef,number_driver,code,forename,surname,dob,nationality,url_driver,constructorRef,constructor_name,constructor_nationality,constructor_url,circuitRef,circuit_name,circuit_location,circuit_country,lat,lng,alt,circuit_url,status,qualifying_position,q1,q2,q3,driver_points_after_race,driver_standing_after_race,driver_wins_after_race,constructor_points_after_race,constructor_standing_after_race,constructor_wins_after_race,constructor_points_race,num_pit_stops,avg_pit_stop_ms,total_pit_stop_ms,avg_lap_ms,best_lap_ms,lap_time_std_ms,sprint_grid,sprint_positionOrder,sprint_points
1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,1.0,1:26.572,1:25.187,1:26.714,10.0,1.0,1.0,14.0,1.0,1.0,14.0,0.0,,,98114.06896551725,87452.0,20990.35684514173,,,
2,18,2,2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,5.0,1:25.960,1:25.518,1:27.236,8.0,2.0,0.0,8.0,3.0,0.0,8.0,0.0,,,98208.5172413793,87739.0,20212.29842329489,,,
3,18,3,3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,7.0,1:26.295,1:26.059,1:28.687,6.0,3.0,0.0,9.0,2.0,0.0,9.0,0.0,,,98254.81034482758,88090.0,18957.199698320324,,,
4,18,4,4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,12.0,1:26.907,1:26.188,\N,5.0,4.0,0.0,5.0,4.0,0.0,5.0,0.0,,,98410.29310344828,88603.0,19640.823974219296,,,
5,18,5,1,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,kovalainen,\N,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,3.0,1:25.664,1:25.452,1:27.079,4.0,5.0,0.0,14.0,1.0,1.0,14.0,0.0,,,98424.6551724138,87418.0,21826.401775727925,,,
6,18,6,3,8,13,6,6,6,3.0,57,\N,\N,50,14,1:29.639,212.974,11,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,nakajima,\N,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,+1 Lap,14.0,1:26.891,1:26.413,\N,3.0,6.0,0.0,9.0,2.0,0.0,9.0,0.0,,,100082.19298245614,89639.0,22953.24417814132,,,
7,18,7,5,14,17,7,7,7,2.0,55,\N,\N,54,8,1:29.534,213.224,5,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,bourdais,\N,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Engine,18.0,1:27.446,\N,\N,2.0,7.0,0.0,2.0,5.0,0.0,2.0,0.0,,,98864.38181818182,89534.0,17491.807452179084,,,
8,18,8,6,1,15,8,8,8,1.0,53,\N,\N,20,4,1:27.903,217.180,5,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,raikkonen,7,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Engine,16.0,1:26.140,\N,\N,1.0,8.0,0.0,1.0,6.0,0.0,1.0,0.0,,,99534.71698113208,87903.0,19536.83114449117,,,
9,18,9,2,4,2,\N,R,9,0.0,47,\N,\N,15,9,1:28.753,215.100,4,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,2.0,1:26.103,1:25.315,1:26.869,,,,8.0,3.0,0.0,8.0,0.0,,,99290.74468085106,88753.0,20625.533825469072,,,
10,18,10,7,12,18,\N,R,10,0.0,43,\N,\N,23,13,1:29.558,213.166,3,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,glock,\N,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Accident,9.0,1:26.919,1:26.164,1:29.593,,,,,,,0.0,0.0,,,96895.86046511628,89558.0,16196.621071165539,,,
