n_estimators,learning_rate,max_depth,accuracy,precision,recall,f1,roc_auc
50,0.01,1,0.849624060150376,0.0,0.0,0.0,0.9151234567901234
50,0.01,2,0.849624060150376,0.0,0.0,0.0,0.9199743253578062
50,0.01,3,0.849624060150376,0.0,0.0,0.0,0.9265432098765434
50,0.05,1,0.9055973266499582,0.7410071942446043,0.5722222222222222,0.64576802507837,0.9269583743035069
50,0.05,2,0.9072681704260651,0.7379310344827587,0.5944444444444444,0.6584615384615384,0.9310253468808042
50,0.05,3,0.9164578111946533,0.7564102564102564,0.6555555555555556,0.7023809523809523,0.9351332896318147
50,0.1,1,0.9131161236424394,0.7375,0.6555555555555556,0.6941176470588235,0.9339861247678358
50,0.1,2,0.9181286549707602,0.75,0.6833333333333333,0.7151162790697675,0.9355211406096362
50,0.1,3,0.9223057644110275,0.757396449704142,0.7111111111111111,0.7335243553008596,0.9353845733639243
100,0.01,1,0.849624060150376,0.0,0.0,0.0,0.9177155031137332
100,0.01,2,0.8705096073517126,0.8571428571428571,0.16666666666666666,0.27906976744186046,0.9256254779853599
100,0.01,3,0.8897243107769424,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.9302851524090462
100,0.05,1,0.9131161236424394,0.7345679012345679,0.6611111111111111,0.695906432748538,0.9334043483011034
100,0.05,2,0.9197994987468672,0.7625,0.6777777777777778,0.7176470588235294,0.9361875887687097
100,0.05,3,0.923141186299081,0.7619047619047619,0.7111111111111111,0.735632183908046,0.9359772752103136
100,0.1,1,0.9164578111946533,0.7380952380952381,0.6888888888888889,0.7126436781609196,0.9355976182672348
100,0.1,2,0.9206349206349206,0.7639751552795031,0.6833333333333333,0.7214076246334311,0.9331476018791653
100,0.1,3,0.923141186299081,0.7619047619047619,0.7111111111111111,0.735632183908046,0.9342073637058887
200,0.01,1,0.9039264828738512,0.7407407407407407,0.5555555555555556,0.6349206349206349,0.9236998798208238
200,0.01,2,0.9064327485380117,0.753731343283582,0.5611111111111111,0.643312101910828,0.9308860482901782
200,0.01,3,0.910609857978279,0.7552447552447552,0.6,0.6687306501547987,0.9326040642412324
200,0.05,1,0.9156223893065998,0.7337278106508875,0.6888888888888889,0.7106017191977078,0.9347427073090789
200,0.05,2,0.9206349206349206,0.7639751552795031,0.6833333333333333,0.7214076246334311,0.933770348519611
200,0.05,3,0.9223057644110275,0.7543859649122807,0.7166666666666667,0.7350427350427351,0.934349393641429
200,0.1,1,0.9156223893065998,0.7309941520467836,0.6944444444444444,0.7122507122507122,0.9355020211952365
200,0.1,2,0.9122807017543859,0.7329192546583851,0.6555555555555556,0.6920821114369502,0.9318420190101606
200,0.1,3,0.9172932330827067,0.7454545454545455,0.6833333333333333,0.7130434782608696,0.9279853599912598
